date,temp_mean,rain_total,humid_mean
2025-07-19,8.47,0.93,76.7
2025-07-20,10.64,3.75,84.9
2025-07-21,10.35,2.62,83.2
2025-07-22,12.58,0.0,73.7
2025-07-23,8.49,0.0,76.2
2025-07-24,13.18,0.0,60.6
2025-07-25,14.8,1.03,73.8
2025-07-26,5.73,0.0,78.5
2025-07-27,11.82,0.0,63.0
2025-07-28,12.29,0.0,83.6
2025-07-29,8.85,0.0,83.1
2025-07-30,9.3,0.0,71.7
2025-07-31,9.81,0.0,70.5
2025-08-01,9.24,0.13,83.8
2025-08-02,9.07,0.0,73.6
2025-08-03,5.5,0.0,92.0
2025-08-04,12.43,0.0,77.5
2025-08-05,12.1,0.15,77.5
2025-08-06,7.23,0.0,84.1
2025-08-07,5.46,0.4,85.4
2025-08-08,10.29,1.38,82.3
2025-08-09,7.41,0.0,78.6
2025-08-10,9.07,0.0,79.4
2025-08-11,7.78,4.54,85.3
2025-08-12,10.18,0.9,80.6
2025-08-13,10.06,0.0,70.2
2025-08-14,6.38,0.0,79.9
2025-08-15,4.61,0.0,87.1
2025-08-16,3.99,0.34,84.0
2025-08-17,9.35,0.0,89.1
2025-08-18,4.73,0.47,83.0
2025-08-19,6.32,0.0,82.0
2025-08-20,5.98,0.0,88.1
2025-08-21,7.23,1.87,83.6
2025-08-22,2.41,0.0,88.0
2025-08-23,7.62,0.87,76.5
2025-08-24,8.35,0.79,81.8
2025-08-25,7.16,0.0,88.0
2025-08-26,6.06,0.0,86.3
2025-08-27,6.98,0.0,77.3
2025-08-28,7.64,2.37,91.4
2025-08-29,-0.38,0.0,84.4
2025-08-30,11.35,0.0,66.0
2025-08-31,7.34,0.71,87.2
2025-09-01,4.65,0.0,86.9
2025-09-02,5.22,0.4,81.3
2025-09-03,7.35,0.0,74.9
2025-09-04,5.75,0.0,97.8
2025-09-05,0.89,2.4,91.8
2025-09-06,11.06,0.0,79.1
2025-09-07,5.55,3.49,86.1
2025-09-08,8.31,0.0,82.6
2025-09-09,3.96,1.17,89.8
2025-09-10,9.47,0.0,82.7
2025-09-11,6.29,0.0,80.8
2025-09-12,7.04,0.28,80.2
2025-09-13,2.85,0.0,77.8
2025-09-14,8.44,0.0,75.1
2025-09-15,7.09,7.99,83.5
2025-09-16,8.58,0.0,85.9
2025-09-17,3.71,0.0,90.5
2025-09-18,4.04,0.0,84.4
2025-09-19,10.96,0.0,68.4
2025-09-20,2.52,0.0,72.0
2025-09-21,4.8,0.0,92.2
2025-09-22,7.96,3.31,77.0
2025-09-23,5.33,0.0,81.8
2025-09-24,6.52,0.36,83.5
2025-09-25,4.05,8.55,78.0
2025-09-26,5.96,0.0,81.4
2025-09-27,1.75,0.0,100.0
2025-09-28,9.16,5.16,81.8
2025-09-29,4.71,0.4,87.6
2025-09-30,3.3,4.72,78.0
2025-10-01,6.67,0.0,95.9
2025-10-02,3.85,0.0,78.2
2025-10-03,1.67,0.0,100.0
2025-10-04,1.65,0.0,77.3
2025-10-05,6.76,0.0,90.8
2025-10-06,4.64,0.0,95.2
2025-10-07,4.72,0.0,80.4
2025-10-08,7.77,0.0,83.4
2025-10-09,2.28,1.6,92.3
2025-10-10,3.3,0.0,82.6
2025-10-11,4.19,0.0,77.5
2025-10-12,5.42,1.14,76.4
2025-10-13,5.12,0.0,88.0
2025-10-14,4.54,0.16,85.2
2025-10-15,5.15,1.59,81.4
2025-10-16,5.07,0.0,90.7
2025-10-17,3.59,0.0,90.1
2025-10-18,3.41,7.77,82.8
2025-10-19,6.18,0.0,76.0
2025-10-20,3.32,0.9,90.6
2025-10-21,2.71,0.54,85.2
2025-10-22,4.88,0.0,85.7
2025-10-23,5.33,0.81,93.9
2025-10-24,11.43,3.93,78.3
2025-10-25,4.1,1.78,81.2
2025-10-26,8.29,0.0,81.0
2025-10-27,7.87,0.0,75.0
2025-10-28,3.11,0.56,97.5
2025-10-29,8.09,0.0,77.0
2025-10-30,3.28,0.0,88.8
2025-10-31,-0.32,2.9,94.8
2025-11-01,7.93,0.48,81.5
2025-11-02,2.11,0.0,77.6
2025-11-03,7.72,0.0,72.2
2025-11-04,4.98,0.0,82.3
2025-11-05,10.93,1.68,78.0
2025-11-06,9.56,0.34,77.3
2025-11-07,5.85,0.0,78.0
2025-11-08,5.37,1.33,76.3
2025-11-09,4.16,7.63,83.8
2025-11-10,6.2,4.31,80.4
2025-11-11,6.72,0.0,85.5
2025-11-12,6.62,0.0,80.6
2025-11-13,8.04,0.0,84.0
2025-11-14,9.21,0.0,75.1
2025-11-15,8.76,0.54,77.8
2025-11-16,6.1,0.0,81.2
2025-11-17,4.53,0.0,81.0
2025-11-18,11.67,1.66,78.7
2025-11-19,6.66,0.07,77.6
2025-11-20,6.88,6.29,79.0
2025-11-21,7.34,1.48,81.0
2025-11-22,4.17,0.0,78.4
2025-11-23,7.72,0.2,78.9
2025-11-24,7.85,0.0,76.4
2025-11-25,10.74,0.72,74.0
2025-11-26,11.08,0.0,75.5
2025-11-27,9.49,0.0,73.4
2025-11-28,11.95,5.1,73.2
2025-11-29,10.62,2.41,84.4
2025-11-30,9.87,2.89,77.5
